GameNo,Tm,D/N,Attendance,API DATE Format
146,BOS,N,37767,2016-09-15
147,BOS,N,37927,2016-09-16
148,BOS,D,37267,2016-09-17
149,BOS,N,37306,2016-09-18
160,BOS,N,37661,2016-09-30
161,BOS,N,37396,2016-10-01
162,BOS,D,36787,2016-10-02
1,CHC,N,35055,2016-04-05
2,CHC,D,26814,2016-04-08
6,CHC,N,26390,2016-04-13
7,CHC,N,27525,2016-04-14
8,CHC,N,29205,2016-04-15
9,CHC,D,32138,2016-04-17
10,CHC,D,33958,2016-04-18
11,CHC,D,29113,2016-04-19
18,CHC,N,29159,2016-04-27
19,CHC,N,29915,2016-04-28
20,CHC,N,30634,2016-04-29
21,CHC,D,31128,2016-05-01
22,CHC,D,34878,2016-05-02
23,CHC,D,33398,2016-05-03
31,CHC,N,32980,2016-05-11
32,CHC,N,31542,2016-05-12
33,CHC,N,33709,2016-05-13
34,CHC,D,31496,2016-05-14
35,CHC,D,33617,2016-05-15
36,CHC,D,38883,2016-05-16
37,CHC,D,36289,2016-05-17
44,CHC,D,38463,2016-05-25
45,CHC,N,30440,2016-05-26
46,CHC,N,34215,2016-05-27
47,CHC,D,34273,2016-05-29
48,CHC,D,37766,2016-05-31
58,CHC,N,35031,2016-06-11
59,CHC,D,40016,2016-06-12
60,CHC,N,40693,2016-06-13
61,CHC,N,33201,2016-06-14
62,CHC,N,35914,2016-06-16
68,CHC,N,35147,2016-06-22
69,CHC,N,36799,2016-06-23
70,CHC,N,36653,2016-06-24
71,CHC,D,41498,2016-06-25
78,CHC,D,41212,2016-07-03
79,CHC,N,37898,2016-07-04
80,CHC,D,37764,2016-07-05
81,CHC,N,37609,2016-07-06
82,CHC,D,34368,2016-07-07
83,CHC,N,35703,2016-07-07
84,CHC,N,37993,2016-07-08
85,CHC,D,41580,2016-07-10
86,CHC,D,41596,2016-07-11
87,CHC,D,41688,2016-07-12
95,CHC,D,41230,2016-07-24
96,CHC,D,41683,2016-07-25
97,CHC,D,41123,2016-07-26
98,CHC,N,35070,2016-07-27
99,CHC,N,36747,2016-07-28
100,CHC,D,38874,2016-07-29
107,CHC,N,41242,2016-08-06
108,CHC,D,41311,2016-08-07
109,CHC,D,41305,2016-08-08
110,CHC,D,39939,2016-08-09
111,CHC,N,37109,2016-08-11
112,CHC,N,36438,2016-08-12
113,CHC,D,40799,2016-08-13
117,CHC,N,39684,2016-08-18
118,CHC,N,40310,2016-08-19
119,CHC,N,34633,2016-08-20
120,CHC,D,39211,2016-08-21
121,CHC,D,41196,2016-08-22
122,CHC,D,39581,2016-08-23
123,CHC,D,36283,2016-08-24
130,CHC,N,34017,2016-08-31
131,CHC,N,33756,2016-09-01
132,CHC,D,31165,2016-09-02
133,CHC,D,36132,2016-09-04
134,CHC,D,40690,2016-09-05
135,CHC,D,41183,2016-09-06
147,CHC,D,40846,2016-09-18
148,CHC,D,40994,2016-09-19
149,CHC,D,40962,2016-09-20
150,CHC,N,34373,2016-09-21
151,CHC,N,36270,2016-09-22
152,CHC,N,37559,2016-09-23
153,CHC,D,40432,2016-09-25
154,CHC,D,41150,2016-09-26
155,CHC,N,40617,2016-09-27
156,CHC,N,40552,2016-09-28
1,BOS,D,36594,2017-04-03
2,BOS,N,36137,2017-04-05
7,BOS,N,37497,2017-04-11
8,BOS,N,32211,2017-04-12
9,BOS,D,32400,2017-04-13
10,BOS,N,36813,2017-04-14
11,BOS,D,36686,2017-04-15
12,BOS,D,36209,2017-04-16
13,BOS,D,37318,2017-04-17
20,BOS,N,32072,2017-04-26
21,BOS,N,34054,2017-04-27
22,BOS,N,37054,2017-04-28
23,BOS,D,36776,2017-04-29
24,BOS,N,36916,2017-04-30
25,BOS,N,33489,2017-05-01
26,BOS,N,32932,2017-05-02
27,BOS,N,33162,2017-05-03
28,BOS,N,36563,2017-05-04
35,BOS,N,36496,2017-05-12
36,BOS,D,35447,2017-05-13
37,BOS,D,35080,2017-05-14
44,BOS,N,34769,2017-05-23
45,BOS,N,36089,2017-05-24
46,BOS,N,33484,2017-05-25
47,BOS,N,35080,2017-05-26
48,BOS,D,36985,2017-05-27
49,BOS,D,37174,2017-05-28
60,BOS,N,36853,2017-06-09
61,BOS,N,37162,2017-06-10
62,BOS,N,35457,2017-06-11
63,BOS,N,36757,2017-06-12
64,BOS,N,37141,2017-06-13
73,BOS,N,37034,2017-06-23
74,BOS,N,36868,2017-06-24
75,BOS,D,36474,2017-06-25
76,BOS,N,37172,2017-06-26
77,BOS,N,36804,2017-06-27
78,BOS,N,37487,2017-06-28
79,BOS,N,37445,2017-06-29
90,BOS,N,37570,2017-07-14
91,BOS,D,36936,2017-07-15
92,BOS,D,37343,2017-07-16
93,BOS,N,36719,2017-07-16
94,BOS,N,36144,2017-07-17
95,BOS,N,36488,2017-07-18
96,BOS,N,37360,2017-07-19
97,BOS,D,37094,2017-07-20
104,BOS,N,37321,2017-07-28
105,BOS,N,36912,2017-07-29
106,BOS,D,36480,2017-07-30
107,BOS,N,37169,2017-07-31
108,BOS,N,37126,2017-08-01
109,BOS,N,37442,2017-08-03
110,BOS,N,36612,2017-08-04
111,BOS,N,36599,2017-08-05
112,BOS,D,37283,2017-08-06
118,BOS,N,37430,2017-08-14
119,BOS,N,37345,2017-08-15
120,BOS,N,37181,2017-08-16
121,BOS,N,36784,2017-08-18
122,BOS,N,37274,2017-08-19
123,BOS,D,36911,2017-08-20
128,BOS,N,37191,2017-08-25
129,BOS,D,36655,2017-08-26
130,BOS,D,36625,2017-08-27
138,BOS,N,34311,2017-09-04
139,BOS,N,33009,2017-09-05
140,BOS,N,33190,2017-09-06
141,BOS,N,34781,2017-09-08
142,BOS,N,36734,2017-09-09
143,BOS,D,35859,2017-09-10
144,BOS,N,34355,2017-09-12
145,BOS,N,36366,2017-09-13
146,BOS,D,35470,2017-09-14
156,BOS,N,33940,2017-09-25
157,BOS,N,33999,2017-09-26
158,BOS,N,34445,2017-09-27
159,BOS,N,34222,2017-09-28
160,BOS,N,36623,2017-09-29
161,BOS,D,35722,2017-09-30
162,BOS,D,34517,2017-10-01
7,CHC,N,41166,2017-04-10
8,CHC,N,40844,2017-04-12
9,CHC,D,38379,2017-04-13
10,CHC,D,40430,2017-04-14
11,CHC,D,41814,2017-04-15
12,CHC,D,39422,2017-04-16
13,CHC,N,38636,2017-04-17
14,CHC,N,39026,2017-04-18
15,CHC,D,34864,2017-04-19
25,CHC,N,38567,2017-05-01
26,CHC,N,38660,2017-05-02
27,CHC,N,39335,2017-05-03
28,CHC,D,36394,2017-05-04
29,CHC,D,40395,2017-05-05
30,CHC,N,40735,2017-05-06
31,CHC,N,40584,2017-05-07
38,CHC,N,40653,2017-05-16
39,CHC,N,38715,2017-05-17
40,CHC,D,36023,2017-05-18
41,CHC,D,36923,2017-05-19
42,CHC,D,41671,2017-05-21
43,CHC,N,36204,2017-05-22
44,CHC,N,32905,2017-05-23
45,CHC,N,35617,2017-05-24
46,CHC,D,37513,2017-05-25
53,CHC,D,41051,2017-06-02
54,CHC,D,41164,2017-06-03
55,CHC,N,39868,2017-06-04
56,CHC,N,34037,2017-06-05
57,CHC,N,34082,2017-06-06
58,CHC,N,37294,2017-06-07
59,CHC,N,39385,2017-06-08
60,CHC,D,41229,2017-06-09
61,CHC,D,41226,2017-06-10
62,CHC,D,41116,2017-06-11
69,CHC,N,40802,2017-06-19
70,CHC,N,41607,2017-06-20
71,CHC,D,41708,2017-06-21
83,CHC,D,42046,2017-07-04
84,CHC,D,39855,2017-07-05
85,CHC,D,41576,2017-07-06
